run_id,date_utc,test_type,pool,suite_version,scenario_count,romhack_commit,rom_hash,access_mode,opponent_model,action_quality,mechanics_accuracy,reasoning_quality,risk_management,calibration,weighted_score,top_move_agreement,acceptable_move_agreement,severe_blunders,mechanics_errors,state_errors,hidden_info_errors,illegal_action_errors,earliest_error_turn,wins,battles,sim_win_rate,confidence_interval,notes_artifact,next_study_target
proxy_baseline_2026_05_14,2026-05-14,proxy_baseline,mixed,existing_artifacts,43,unknown,unknown,visible_artifacts,none,,,,,,,"43/43 state-transition proxy","not sealed",0,0,0,0,0,,0,0,,,audit/boss_ai_preference/state_transition_benchmarks.md; audit/boss_ai_preference/final_report.md,Run Quick Test 001 with fresh semi-blind prompts
quick_test_001a_2026_05_14,2026-05-14,quick_probe,vanilla_gsc_external_atlas,external_atlas_p11_p20,10,unknown,unknown,semi_blind_public_prompts_oracle_after_answers,source_oracle,4.0,4.0,4.0,3.6,4.0,98.5,10/10,10/10,0,0,0,0,0,,0,0,,,docs/pokemon_mastery/quick_tests/quick_test_001_2026-05-14.md,"Run a full mixed quick probe with fresh romhack and mechanics prompts whose local oracle fields have not been opened"
quick_test_002_micro_2026_05_14,2026-05-14,replay_micro_probe,vanilla_gsc_replay,smogtours-gen2ou-912130_turns_10_20_30_40_50,5,unknown,unknown,frozen_public_prompts_but_own_known_team_omitted,expert_replay_actual_move_weak_oracle,,,,,,,2/4,3/4,0,0,1,0,0,40,0,0,,,"docs/pokemon_mastery/quick_tests/quick_test_002_replay_micro_probe_2026-05-14.md","Uncounted rough 82.0; fix quick-test prompt generation: include advised side known team/moves; exclude no-action asleep turns; then run 10 mixed prompts"
replay_turn_pause_001_2026_05_14,2026-05-14,replay_turn_pause,vanilla_gsc_replay,smogtours-gen2ou-912131_turns_1_5,10,unknown,unknown,spectator_public_turn_pause_hidden_future,expert_replay_actual_move_weak_oracle,,,,,,,3/10,6/10,0,0,1,0,0,2,0,0,,,"docs/pokemon_mastery/quick_tests/replay_turn_pause_001_smogtours-gen2ou-912131_2026-05-14.md","Continue replay turn-pause; study early Rest role-preservation and phazer-before-Spikes sequencing"
replay_turn_pause_001b_2026_05_14,2026-05-14,replay_turn_pause,vanilla_gsc_replay,smogtours-gen2ou-912131_turns_6_15,20,unknown,unknown,spectator_public_turn_pause_hidden_future,expert_replay_actual_move_weak_oracle,,,,,,,11/20,14/20,0,0,0,0,0,6,0,0,,,"docs/pokemon_mastery/quick_tests/replay_turn_pause_001_smogtours-gen2ou-912131_2026-05-14.md","Study support-map switching: active setter is not always spinner; route-flipping hidden own-team answer enables doubles"
replay_turn_pause_002_2026_05_14,2026-05-14,replay_turn_pause,vanilla_gsc_replay,smogtours-gen2ou-917186_turns_1_10,20,unknown,unknown,spectator_public_turn_pause_hidden_future,expert_replay_actual_move_weak_oracle,,,,,,,6/20,12/20,1,0,0,0,0,1,0,0,,,"docs/pokemon_mastery/quick_tests/replay_turn_pause_002_smogtours-gen2ou-917186_2026-05-14.md","Study sacrifice selection and support cash-out: choose which teammate takes obvious Explosion"
transfer_sprint_poker_ai_001_2026_05_14,2026-05-14,cross_domain_transfer,poker_ai_imperfect_information,deepstack_libratus_depth_limited_solving,1,unknown,unknown,open_study_then_pokemon_transfer_artifact,primary_research_transfer_not_score,,,,,,,,,0,0,0,0,0,,0,0,,,"docs/pokemon_mastery/source_to_policy_ledger.md#stp-058-re-solve-the-local-subgame-after-every-reveal; docs/pokemon_mastery/paused_turn_atlas.md#pta-055-re-solve-after-the-reveal","Run replay/probe canary for re-solving after reveal: must name obvious punish, route-preserving switch, and greed/support branch"
replay_turn_pause_003_resolve_canary_2026_05_14,2026-05-14,replay_turn_pause,vanilla_gsc_replay,smogtours-gen2ou-917193_turns_1_6_branch_bundle,12,unknown,unknown,spectator_public_turn_pause_hidden_future,expert_replay_actual_move_weak_oracle,,,,,,,2/12,6/12,0,0,0,0,0,1,0,0,,,"docs/pokemon_mastery/quick_tests/replay_turn_pause_003_resolve_canary_smogtours-gen2ou-917193_2026-05-14.md","Branch-bundle compliance 6/6 but accuracy weak; study status-as-route-stopper and double re-solve after visible matchup is priced"
replay_turn_pause_004_branch_quality_2026_05_14,2026-05-14,replay_turn_pause,vanilla_gsc_replay,smogtours-gen2ou-917826_turns_1_6_branch_quality,12,unknown,unknown,spectator_public_turn_pause_hidden_future,expert_replay_actual_move_weak_oracle,,,,,,,5/12,8/12,0,0,0,0,0,1,0,0,,,"docs/pokemon_mastery/quick_tests/replay_turn_pause_004_branch_quality_smogtours-gen2ou-917826_2026-05-14.md","Add coverage-into-route-preserving-switch to future branch bundles; continue support mirror reps"
replay_turn_pause_005_status_route_2026_05_14,2026-05-14,replay_turn_pause,vanilla_gsc_replay,smogtours-gen2ou-903666_turns_3_12_status_route,20,unknown,unknown,spectator_public_turn_pause_hidden_future_turns_1_2_excluded,expert_replay_actual_move_weak_oracle,,,,,,,5/20,12/20,1,0,0,0,0,3,0,0,,,"docs/pokemon_mastery/quick_tests/replay_turn_pause_005_status_route_smogtours-gen2ou-903666_2026-05-14.md","Study support-turn priority: Toxic as route-stopper before Spikes or Rapid Spin when setup is live"
